
  construction Description: Metal/Masonry  ,  constructionCode: 2
  construction Description: Concrete  steel rack  ,  constructionCode: 1
  construction Description: Concrete Steel  ,  constructionCode: 1
  construction Description: Concrete & Steel  ,  constructionCode: 1
  construction Description: Concrete  Steel rack couplers  ,  constructionCode: 1
  construction Description: Concrete & Steel Frame  ,  constructionCode: 1
  construction Description: Concrete
Stucco  ,  constructionCode: 1
  construction Description: Concrete masonry wall  ,  constructionCode: 1
  construction Description: Concrete Block
Brick  ,  constructionCode: 1
  construction Description: Concrete  / post tension cables  ,  constructionCode: 1
  construction Description: Poured Concrete  Roof / Metal Trusses  ,  constructionCode: 1
  construction Description: Concrete  Pre Fab  ,  constructionCode: 1
  construction Description: Wood frame/stucco exterior  ,  constructionCode: 1
  construction Description: wood frame & siding  ,  constructionCode: 1
  construction Description: wood frame interior / stucco exterior  ,  constructionCode: 1
  construction Description: wood frame & stucco  ,  constructionCode: 1
  construction Description: wood frame stucco exterior  ,  constructionCode: 1
  construction Description: wood frame  concrete block stucco ext.  ,  constructionCode: 1
  construction Description: Wood frame interior stucco exterior no sprinkler  ,  constructionCode: 1
  construction Description: Steel frame  flat roof  stucco exterior  ,  constructionCode: 1
  construction Description: wood frame construction  exterior siding / flat roof  ,  constructionCode: 1
  construction Description: Wood frame/stucco exterior  ,  constructionCode: 1
  construction Description: wood frame interior / stucco exterior  ,  constructionCode: 1
  construction Description: wood frame stucco exterior  ,  constructionCode: 1
  construction Description: wood frame  concrete block stucco ext.  ,  constructionCode: 1
  construction Description: Wood frame interior stucco exterior no sprinkler  ,  constructionCode: 1
  construction Description: frame interior / stucco exterior  ,  constructionCode: 1
  construction Description: Wood frame/stucco exterior  ,  constructionCode: 1
  construction Description: wood frame brick ext  ,  constructionCode: 1
  construction Description: wood frame brick  ,  constructionCode: 1
  construction Description: Wood Frame brick veneer  ,  constructionCode: 1
  construction Description: Wood frame brick exterior  ,  constructionCode: 1
  construction Description: wood frame concrete slab  ,  constructionCode: 1
  construction Description: wood frame  brick exterior  flat roof  ,  constructionCode: 1
  construction Description: wood frame  concrete beam  ,  constructionCode: 1
  construction Description: Wood frame / sprinklers  ,  constructionCode: 1
  construction Description: Wood frame  concrete  ,  constructionCode: 1
  construction Description: Wood frame  brick exterior  flat roof  ,  constructionCode: 1
  construction Description: wood frame concrete block brick exterior  ,  constructionCode: 1
  construction Description: wood frame / flat roof brick exterior  ,  constructionCode: 1
  construction Description: wood frame / brick exterior  ,  constructionCode: 1
  construction Description: wood frame / brick exterior remodeled 1987  ,  constructionCode: 1
  construction Description: wood frame block exterior  ,  constructionCode: 1
  construction Description: wood frame interior / stucco exterior  ,  constructionCode: 1
  construction Description: wood frame  concrete/cinderblock  gable roof  ,  constructionCode: 1
  construction Description: wood frame & stucco  ,  constructionCode: 1
  construction Description: wood frame  gable roof  ,  constructionCode: 1
  construction Description: wood frame stucco exterior  ,  constructionCode: 1
  construction Description: Wood frame interior stucco exterior no sprinkler  ,  constructionCode: 1
  construction Description: wood frame contruction brick exterior / flat roof  ,  constructionCode: 1
  construction Description: Wood frame brick ext  ,  constructionCode: 1
  construction Description: wood frame / siding exteior  ,  constructionCode: 1
  construction Description: Wood frame cinder brick exterior shingle roof  ,  constructionCode: 1
  construction Description: Wood frame  masonry brick  ,  constructionCode: 1
  construction Description: Joisted Masonry  ,  constructionCode: 1
  construction Description: Concrete Panels & Steel  ,  constructionCode: 1
  construction Description: Block Masonry Steel  ,  constructionCode: 1
  construction Description: Concrete Tilt  ,  constructionCode: 1
  construction Description: Concrete/
Masonry  ,  constructionCode: 1
  construction Description: Joisted Masonry = 2  ,  constructionCode: 1
  construction Description: concrete masonry block  ,  constructionCode: 1
  construction Description: concrete slab masonry exterior  ,  constructionCode: 1
  construction Description: brick concrete masonry  ,  constructionCode: 1
  construction Description: Concrete structure  ,  constructionCode: 1
  construction Description: Concrete frame structure  ,  constructionCode: 1
  construction Description: Concrete & Steel  ,  constructionCode: 1
  construction Description: Concrete masonry wall  ,  constructionCode: 1
  construction Description: Concrete Masonry walls
Wood & steel Frame Roof  ,  constructionCode: 1
  construction Description: Concrete Block
Brick  ,  constructionCode: 1
  construction Description: Standard reinforced tilt concrete panels / steel structrual frame  ,  constructionCode: 1
  construction Description: Reinforced Concrete  ,  constructionCode: 1
  construction Description: Concrete Block / Wood Frame  |Insulated Pole Barn  ,  constructionCode: 1
  construction Description: Steel/Concrete
Wood Stucco  ,  constructionCode: 1
  construction Description: concrete slab / steel frame  ,  constructionCode: 1
  construction Description: concrete block wood frame  ,  constructionCode: 1
  construction Description: concrete block extrior wood frame  ,  constructionCode: 1
  construction Description: Concrete block wood frame  ,  constructionCode: 1
  construction Description: concrete stucco  ,  constructionCode: 1
  construction Description: concrete wood frame | remodeled in 2004  ,  constructionCode: 1
  construction Description: concrete block & stucco  ,  constructionCode: 1
  construction Description: wood frame & stucco  ,  constructionCode: 1
  construction Description: former pzza hut  wood frame  ,  constructionCode: 1
  construction Description: concrete block wood frame former gas station  ,  constructionCode: 1
  construction Description: Steel concrete frame  ,  constructionCode: 1
  construction Description: Preformed Concrete Set In Place  ,  constructionCode: 1
  construction Description: Reinforce concrete  steel frame  brick veneer  ,  constructionCode: 1
  construction Description: Reinforced concrete structured steel  ,  constructionCode: 1
  construction Description: Reinforced Concrete Steel  ,  constructionCode: 1
  construction Description: reinforced concrete frame & superstructure  ,  constructionCode: 1
  construction Description: brick  concrete  steel frame  glass  ,  constructionCode: 1
  construction Description: CBS Concrete Reinforced Block & Stucco  ,  constructionCode: 1
  construction Description: Metal frame Stucco  ,  constructionCode: 1
  construction Description: Reinforced concrete frame
supporting  frame roof  ,  constructionCode: 1
  construction Description: Concrete Foundation / Wood Frame  ,  constructionCode: 1
  construction Description: Wood frame/stucco exterior  ,  constructionCode: 1
  construction Description: Wood Frame  ,  constructionCode: 1
  construction Description: block frame  |shopping center  ,  constructionCode: 1
  construction Description: wood frame siding ext.  ,  constructionCode: 1
  construction Description: wood frame  ,  constructionCode: 1
  construction Description: Wood frame  ,  constructionCode: 1
  construction Description: wood frame concrete block  ,  constructionCode: 1
  construction Description: wood frame slab  ,  constructionCode: 1
  construction Description: wood frame brick  ,  constructionCode: 1
  construction Description: frame / drivet ext  ,  constructionCode: 1
  construction Description: frame brick  ,  constructionCode: 1
  construction Description: wood frame steel joist  ,  constructionCode: 1
  construction Description: wood frame  brick exterior  flat roof  ,  constructionCode: 1
  construction Description: wood frame  concrete beam  ,  constructionCode: 1
  construction Description: Wood frame  concrete  ,  constructionCode: 1
  construction Description: wood stud / brick veneer  ,  constructionCode: 1
  construction Description: Wood frame  brick exterior  flat roof  ,  constructionCode: 1
  construction Description: wood frame concrete block brick exterior  ,  constructionCode: 1
  construction Description: wood frame & siding  ,  constructionCode: 1
  construction Description: wood frame / flat roof brick exterior  ,  constructionCode: 1
  construction Description: wood frame / brick exterior remodeled 1987  ,  constructionCode: 1
  construction Description: wood frame shingle roof  ,  constructionCode: 1
  construction Description: wood frame block exterior  ,  constructionCode: 1
  construction Description: wood frame interior / stucco exterior  ,  constructionCode: 1
  construction Description: wood frame  concrete/cinderblock  gable roof  ,  constructionCode: 1
  construction Description: wood frame & stucco  ,  constructionCode: 1
  construction Description: wood frame  gable roof  ,  constructionCode: 1
  construction Description: frame/brick veneer  |remodeled 1989  ,  constructionCode: 1
  construction Description: wood frame stucco exterior  ,  constructionCode: 1
  construction Description: wood frame joist/beam  ,  constructionCode: 1
  construction Description: wood frame  concrete block stucco ext.  ,  constructionCode: 1
  construction Description: wood frame contruction brick exterior / flat roof  ,  constructionCode: 1
  construction Description: Wood frame joist  ,  constructionCode: 1
  construction Description: frame/brick veneer  masonry  ,  constructionCode: 1
  construction Description: Wood frame cinder brick exterior shingle roof  ,  constructionCode: 1
  construction Description: Wood frame  masonry brick  ,  constructionCode: 1
  construction Description: wood frame siding  ,  constructionCode: 1
  construction Description: Reinforce concrete  steel frame  brick veneer  ,  constructionCode: 1
  construction Description: Grid iron structured steel  brick veneer  ,  constructionCode: 1
  construction Description: Reinforce concrete  steel frame  brick veneer  ,  constructionCode: 1
  construction Description: Concrete Panels & Steel  ,  constructionCode: 1
  construction Description: Concrete Block  ,  constructionCode: 1
  construction Description: Concrete Block & Steel  ,  constructionCode: 1
  construction Description: Concrete tilt up  ,  constructionCode: 1
  construction Description: Concrete tilt wall / decorative iron inserts  ,  constructionCode: 1
  construction Description: Concrete tilt wall  ,  constructionCode: 1
  construction Description: Concrete Block / Steel  ,  constructionCode: 1
  construction Description: Steel / Concrete / Brick / Timber  ,  constructionCode: 1
  construction Description: Concrete & Metal Shed  ,  constructionCode: 1
  construction Description: concrete block steel frame  ,  constructionCode: 1
  construction Description: concrete block  ,  constructionCode: 1
  construction Description: concrete brick  ,  constructionCode: 1
  construction Description: frame/brick veneer  ,  constructionCode: 1
  construction Description: Concrete block  ,  constructionCode: 1
  construction Description: concrete slab / steel frame  ,  constructionCode: 1
  construction Description: Wood Frame brick veneer  ,  constructionCode: 1
  construction Description: concrete/brick  ,  constructionCode: 1
  construction Description: concrete block brick  ,  constructionCode: 1
  construction Description: Masonry wall brick exterior  ,  constructionCode: 1
  construction Description: concrete block / brick exterior flat roof  ,  constructionCode: 1
  construction Description: concrete block exterior  ,  constructionCode: 1
  construction Description: Concrete block wood frame  ,  constructionCode: 1
  construction Description: wood stud / brick veneer  ,  constructionCode: 1
  construction Description: Concrete block  cement floor  ,  constructionCode: 1
  construction Description: wood frame concrete block brick exterior  ,  constructionCode: 1
  construction Description: concrete stucco  ,  constructionCode: 1
  construction Description: concrete slab/brick  ,  constructionCode: 1
  construction Description: concrete sheetrock  ,  constructionCode: 1
  construction Description: concrete block  no basement  ,  constructionCode: 1
  construction Description: Concrete Block non sprinklered  ,  constructionCode: 1
  construction Description: Concrete block exterior flat roof  ,  constructionCode: 1
  construction Description: Steel / Brick  ,  constructionCode: 1
  construction Description: Concrete/Metal Panel Siding  ,  constructionCode: 1
  construction Description: concrete  steel  glass  ,  constructionCode: 1
  construction Description: concrete & steel  ,  constructionCode: 1
  construction Description: Concrete structure  ,  constructionCode: 1
  construction Description: concrete  steel  ,  constructionCode: 1
  construction Description: brick  concrete  steel frame  glass  ,  constructionCode: 1
  construction Description: Concrete block/ Glass  ,  constructionCode: 1
  construction Description: Concrete / Brick / Iron curtains  ,  constructionCode: 1
  construction Description: Concrete Steel  ,  constructionCode: 1
  construction Description: Concrete & Steel  ,  constructionCode: 1
  construction Description: Concrete  Steel rack couplers  ,  constructionCode: 1
  construction Description: Concrete & Steel Frame  ,  constructionCode: 1
  construction Description: precast Concrete Slabs / Brick Veneer 7 metal Trim  ,  constructionCode: 1
  construction Description: Concrete Block
Brick  ,  constructionCode: 1
  construction Description: Concrete  / post tension cables  ,  constructionCode: 1
  construction Description: Wood frame/stucco exterior  ,  constructionCode: 1
  construction Description: #1 Wood Frame  ,  constructionCode: 1
  construction Description: Wood Frame  ,  constructionCode: 1
  construction Description: Wood Frame/
Masonry  ,  constructionCode: 1
  construction Description: wood frame siding ext.  ,  constructionCode: 1
  construction Description: wood frame  ,  constructionCode: 1
  construction Description: Wood frame  ,  constructionCode: 1
  construction Description: wood frame brick ext  ,  constructionCode: 1
  construction Description: wood frame concrete block  ,  constructionCode: 1
  construction Description: wood frame slab  ,  constructionCode: 1
  construction Description: wood frame brick  ,  constructionCode: 1
  construction Description: Wood Frame brick veneer  ,  constructionCode: 1
  construction Description: frame/stucco/block  ,  constructionCode: 1
  construction Description: block wood frame  ,  constructionCode: 1
  construction Description: Wood frame brick exterior  ,  constructionCode: 1
  construction Description: wood frame concrete slab  ,  constructionCode: 1
  construction Description: wood frame steel joist  ,  constructionCode: 1
  construction Description: stucco wood frame  ,  constructionCode: 1
  construction Description: brick wood frame  ,  constructionCode: 1
  construction Description: wood frame  concrete beam  ,  constructionCode: 1
  construction Description: Wood frame / sprinklers  ,  constructionCode: 1
  construction Description: Wood frame  brick exterior  flat roof  ,  constructionCode: 1
  construction Description: wood stucco  ,  constructionCode: 1
  construction Description: concrete stucco  ,  constructionCode: 1
  construction Description: wood frame & siding  ,  constructionCode: 1
  construction Description: wood frame / flat roof brick exterior  ,  constructionCode: 1
  construction Description: wood frame / brick exterior  ,  constructionCode: 1
  construction Description: wood frame shingle roof  ,  constructionCode: 1
  construction Description: wood frame block exterior  ,  constructionCode: 1
  construction Description: wood frame interior / stucco exterior  ,  constructionCode: 1
  construction Description: wood frame  gable roof  ,  constructionCode: 1
  construction Description: stone wood frame  ,  constructionCode: 1
  construction Description: wood frame stucco exterior  ,  constructionCode: 1
  construction Description: wood frame joist/beam  ,  constructionCode: 1
  construction Description: wood frame  concrete block stucco ext.  ,  constructionCode: 1
  construction Description: Wood frame interior stucco exterior no sprinkler  ,  constructionCode: 1
  construction Description: Wood frame joist  ,  constructionCode: 1
  construction Description: wood stucco slab  ,  constructionCode: 1
  construction Description: Wood frame brick ext  ,  constructionCode: 1
  construction Description: wood frame / siding exteior  ,  constructionCode: 1
  construction Description: Wood frame  masonry brick  ,  constructionCode: 1
  construction Description: wood frame siding  ,  constructionCode: 1
  construction Description: Concrete
Stucco  ,  constructionCode: 1
  construction Description: Wood Frame
EFIS Masonry  ,  constructionCode: 1
  construction Description: wood frame siding ext.  ,  constructionCode: 1
  construction Description: wood frame brick ext  ,  constructionCode: 1
  construction Description: frame/brick veneer  ,  constructionCode: 1
  construction Description: frame/brick veneer  |online sq. footage 1922  ,  constructionCode: 1
  construction Description: wood frame brick  ,  constructionCode: 1
  construction Description: Wood Frame brick veneer  ,  constructionCode: 1
  construction Description: Wood frame brick exterior  ,  constructionCode: 1
  construction Description: wood frame steel joist  ,  constructionCode: 1
  construction Description: wood frame  brick exterior  flat roof  ,  constructionCode: 1
  construction Description: Wood frame / sprinklers  ,  constructionCode: 1
  construction Description: Wood frame  concrete  ,  constructionCode: 1
  construction Description: wood stud / brick veneer  ,  constructionCode: 1
  construction Description: Wood frame  brick exterior  flat roof  ,  constructionCode: 1
  construction Description: wood frame concrete block brick exterior  ,  constructionCode: 1
  construction Description: wood frame & siding  ,  constructionCode: 1
  construction Description: wood frame / flat roof brick exterior  ,  constructionCode: 1
  construction Description: wood frame / brick exterior  ,  constructionCode: 1
  construction Description: wood frame / brick exterior remodeled 1987  ,  constructionCode: 1
  construction Description: wood frame block exterior  ,  constructionCode: 1
  construction Description: frame/brick veneer  |remodeled 1989  ,  constructionCode: 1
  construction Description: Wood frame interior stucco exterior no sprinkler  ,  constructionCode: 1
  construction Description: wood frame contruction brick exterior / flat roof  ,  constructionCode: 1
  construction Description: frame/brick veneer  masonry  ,  constructionCode: 1
  construction Description: Wood frame brick ext  ,  constructionCode: 1
  construction Description: wood frame / siding exteior  ,  constructionCode: 1
  construction Description: frame / siding  ,  constructionCode: 1
  construction Description: Wood frame cinder brick exterior shingle roof  ,  constructionCode: 1
  construction Description: Wood frame  masonry brick  ,  constructionCode: 1
  construction Description: wood frame siding  ,  constructionCode: 1
  construction Description: Common brick metal siding  ,  constructionCode: 1
  construction Description: Butler   Brick face  Steel Siding  ,  constructionCode: 1
  construction Description: Common brick Metal Siding  ,  constructionCode: 1
  construction Description: Reinforce concrete  steel frame  brick veneer  ,  constructionCode: 1
  construction Description: wood frame siding ext.  ,  constructionCode: 1
  construction Description: wood frame brick ext  ,  constructionCode: 1
  construction Description: frame/brick veneer  ,  constructionCode: 1
  construction Description: frame/brick veneer  |online sq. footage 1922  ,  constructionCode: 1
  construction Description: wood frame brick  ,  constructionCode: 1
  construction Description: Wood Frame brick veneer  ,  constructionCode: 1
  construction Description: Wood frame brick exterior  ,  constructionCode: 1
  construction Description: wood frame steel joist  ,  constructionCode: 1
  construction Description: wood frame  brick exterior  flat roof  ,  constructionCode: 1
  construction Description: Wood frame / sprinklers  ,  constructionCode: 1
  construction Description: Wood frame  concrete  ,  constructionCode: 1
  construction Description: wood stud / brick veneer  ,  constructionCode: 1
  construction Description: Wood frame  brick exterior  flat roof  ,  constructionCode: 1
  construction Description: wood frame concrete block brick exterior  ,  constructionCode: 1
  construction Description: wood frame & siding  ,  constructionCode: 1
  construction Description: wood frame / flat roof brick exterior  ,  constructionCode: 1
  construction Description: wood frame / brick exterior  ,  constructionCode: 1
  construction Description: wood frame / brick exterior remodeled 1987  ,  constructionCode: 1
  construction Description: wood frame block exterior  ,  constructionCode: 1
  construction Description: Wood frame interior stucco exterior no sprinkler  ,  constructionCode: 1
  construction Description: wood frame contruction brick exterior / flat roof  ,  constructionCode: 1
  construction Description: frame/brick veneer  masonry  ,  constructionCode: 1
  construction Description: Wood frame brick ext  ,  constructionCode: 1
  construction Description: wood frame / siding exteior  ,  constructionCode: 1
  construction Description: frame / siding  ,  constructionCode: 1
  construction Description: Wood frame cinder brick exterior shingle roof  ,  constructionCode: 1
  construction Description: Wood frame  masonry brick  ,  constructionCode: 1
  construction Description: wood frame siding  ,  constructionCode: 1
  construction Description: Common brick metal siding  ,  constructionCode: 1
  construction Description: Butler   Brick face  Steel Siding  ,  constructionCode: 1
  construction Description: Common brick Metal Siding  ,  constructionCode: 1
  construction Description: Wood Frame  ,  constructionCode: 1
  construction Description: Wood Frame/
Masonry  ,  constructionCode: 1
  construction Description: wood frame siding ext.  ,  constructionCode: 1
  construction Description: wood frame  ,  constructionCode: 1
  construction Description: Wood frame  ,  constructionCode: 1
  construction Description: wood frame slab  ,  constructionCode: 1
  construction Description: wood frame brick  ,  constructionCode: 1
  construction Description: Wood Frame brick veneer  ,  constructionCode: 1
  construction Description: Wood frame brick exterior  ,  constructionCode: 1
  construction Description: wood frame concrete slab  ,  constructionCode: 1
  construction Description: wood frame steel joist  ,  constructionCode: 1
  construction Description: wood frame  concrete beam  ,  constructionCode: 1
  construction Description: Wood frame / sprinklers  ,  constructionCode: 1
  construction Description: Wood frame  concrete  ,  constructionCode: 1
  construction Description: wood frame / brick exterior  ,  constructionCode: 1
  construction Description: wood frame shingle roof  ,  constructionCode: 1
  construction Description: wood frame & stucco  ,  constructionCode: 1
  construction Description: wood frame  gable roof  ,  constructionCode: 1
  construction Description: wood frame joist/beam  ,  constructionCode: 1
  construction Description: Wood frame joist  ,  constructionCode: 1
  construction Description: Wood frame brick ext  ,  constructionCode: 1
  construction Description: wood frame / siding exteior  ,  constructionCode: 1
  construction Description: frame / siding  ,  constructionCode: 1
  construction Description: Wood frame cinder brick exterior shingle roof  ,  constructionCode: 1
  construction Description: Wood frame  masonry brick  ,  constructionCode: 1
  construction Description: Common brick metal siding  ,  constructionCode: 1
  construction Description: Metal frame building  ,  constructionCode: 1
  construction Description: Steel frame siding  ,  constructionCode: 1
  construction Description: Wood Frame
EFIS Masonry  ,  constructionCode: 1
  construction Description: wood frame  brick exterior  flat roof  ,  constructionCode: 1
  construction Description: Wood frame  brick exterior  flat roof  ,  constructionCode: 1
  construction Description: wood frame & stucco  ,  constructionCode: 1
  construction Description: wood frame  concrete block stucco ext.  ,  constructionCode: 1
  construction Description: Wood frame interior stucco exterior no sprinkler  ,  constructionCode: 1
  construction Description: frame interior / stucco exterior  ,  constructionCode: 1
  construction Description: wood frame contruction brick exterior / flat roof  ,  constructionCode: 1
  construction Description: Wood frame cinder brick exterior shingle roof  ,  constructionCode: 1
  construction Description: Wood frame/stucco exterior  ,  constructionCode: 1
  construction Description: Wood Frame  ,  constructionCode: 1
  construction Description: block frame  |shopping center  ,  constructionCode: 1
  construction Description: wood frame siding ext.  ,  constructionCode: 1
  construction Description: wood frame  ,  constructionCode: 1
  construction Description: Wood frame  ,  constructionCode: 1
  construction Description: wood frame concrete block  ,  constructionCode: 1
  construction Description: wood frame slab  ,  constructionCode: 1
  construction Description: wood frame brick  ,  constructionCode: 1
  construction Description: frame / drivet ext  ,  constructionCode: 1
  construction Description: frame brick  ,  constructionCode: 1
  construction Description: wood frame steel joist  ,  constructionCode: 1
  construction Description: wood frame  brick exterior  flat roof  ,  constructionCode: 1
  construction Description: wood frame  concrete beam  ,  constructionCode: 1
  construction Description: Wood frame  concrete  ,  constructionCode: 1
  construction Description: wood stud / brick veneer  ,  constructionCode: 1
  construction Description: Wood frame  brick exterior  flat roof  ,  constructionCode: 1
  construction Description: wood frame concrete block brick exterior  ,  constructionCode: 1
  construction Description: wood frame & siding  ,  constructionCode: 1
  construction Description: wood frame / flat roof brick exterior  ,  constructionCode: 1
  construction Description: wood frame / brick exterior remodeled 1987  ,  constructionCode: 1
  construction Description: wood frame shingle roof  ,  constructionCode: 1
  construction Description: wood frame block exterior  ,  constructionCode: 1
  construction Description: wood frame interior / stucco exterior  ,  constructionCode: 1
  construction Description: wood frame  concrete/cinderblock  gable roof  ,  constructionCode: 1
  construction Description: wood frame & stucco  ,  constructionCode: 1
  construction Description: wood frame  gable roof  ,  constructionCode: 1
  construction Description: frame/brick veneer  |remodeled 1989  ,  constructionCode: 1
  construction Description: wood frame stucco exterior  ,  constructionCode: 1
  construction Description: wood frame joist/beam  ,  constructionCode: 1
  construction Description: wood frame  concrete block stucco ext.  ,  constructionCode: 1
  construction Description: wood frame contruction brick exterior / flat roof  ,  constructionCode: 1
  construction Description: Wood frame joist  ,  constructionCode: 1
  construction Description: frame/brick veneer  masonry  ,  constructionCode: 1
  construction Description: Wood frame cinder brick exterior shingle roof  ,  constructionCode: 1
  construction Description: Wood frame  masonry brick  ,  constructionCode: 1
  construction Description: wood frame siding  ,  constructionCode: 1
  construction Description: Reinforce concrete  steel frame  brick veneer  ,  constructionCode: 1
  construction Description: Steel Frame/Masonry Exterior  ,  constructionCode: 1
  construction Description: Wood Stucco  ,  constructionCode: 1
  construction Description: wood frame siding ext.  ,  constructionCode: 1
  construction Description: Wood frame  ,  constructionCode: 1
  construction Description: wood frame brick ext  ,  constructionCode: 1
  construction Description: wood frame concrete block  ,  constructionCode: 1
  construction Description: wood frame brick  ,  constructionCode: 1
  construction Description: Wood Frame brick veneer  ,  constructionCode: 1
  construction Description: wood or steel stud frame exterior  ,  constructionCode: 1
  construction Description: wood frame concrete slab  ,  constructionCode: 1
  construction Description: Wood frame sided exterior. No spkl or alarms.  ,  constructionCode: 1
  construction Description: wood frame steel joist  ,  constructionCode: 1
  construction Description: wood frame  brick exterior  flat roof  ,  constructionCode: 1
  construction Description: wood frame  concrete beam  ,  constructionCode: 1
  construction Description: Wood frame / sprinklers  ,  constructionCode: 1
  construction Description: Wood frame  concrete  ,  constructionCode: 1
  construction Description: Wood frame  brick exterior  flat roof  ,  constructionCode: 1
  construction Description: wood frame concrete block brick exterior  ,  constructionCode: 1
  construction Description: wood frame & siding  ,  constructionCode: 1
  construction Description: wood frame / flat roof brick exterior  ,  constructionCode: 1
  construction Description: wood frame / brick exterior remodeled 1987  ,  constructionCode: 1
  construction Description: wood frame shingle roof  ,  constructionCode: 1
  construction Description: wood frame block exterior  ,  constructionCode: 1
  construction Description: wood frame  concrete/cinderblock  gable roof  ,  constructionCode: 1
  construction Description: wood frame & stucco  ,  constructionCode: 1
  construction Description: wood frame  gable roof  ,  constructionCode: 1
  construction Description: wood frame  concrete block stucco ext.  ,  constructionCode: 1
  construction Description: Wood frame interior stucco exterior no sprinkler  ,  constructionCode: 1
  construction Description: frame interior / stucco exterior  ,  constructionCode: 1
  construction Description: wood frame contruction brick exterior / flat roof  ,  constructionCode: 1
  construction Description: Wood frame joist  ,  constructionCode: 1
  construction Description: Wood frame brick ext  ,  constructionCode: 1
  construction Description: wood frame / siding exteior  ,  constructionCode: 1
  construction Description: frame stucco  ,  constructionCode: 1
  construction Description: Steel frame  flat roof  stucco exterior  ,  constructionCode: 1
  construction Description: wood frame construction  exterior siding / flat roof  ,  constructionCode: 1
  construction Description: Wood frame cinder brick exterior shingle roof  ,  constructionCode: 1
  construction Description: Wood frame  masonry brick  ,  constructionCode: 1
  construction Description: Steel frame  precast concrete exterior wall  ,  constructionCode: 1
  construction Description: Metal frame Stucco  ,  constructionCode: 1
  construction Description: Joisted Masonry  ,  constructionCode: 4
  construction Description: Metal/Masonry  ,  constructionCode: 4
  construction Description: Concrete Masonry  ,  constructionCode: 4
  construction Description: Block Masonry Steel  ,  constructionCode: 4
  construction Description: Block  Masonry  Steel  ,  constructionCode: 4
  construction Description: Concrete tilt wall  ,  constructionCode: 4
  construction Description: Masonry Non Combustible  ,  constructionCode: 4
  construction Description: Masonry/Non Combustible  ,  constructionCode: 4
  construction Description: Masonry/Steel  ,  constructionCode: 4
  construction Description: Masonry / Brick  ,  constructionCode: 4
  construction Description: Masonry  Non Combustible  ,  constructionCode: 4
  construction Description: Joisted Masonry = 2  ,  constructionCode: 4
  construction Description: Masonry Non combustible  ,  constructionCode: 4
  construction Description: masonry brick  ,  constructionCode: 4
  construction Description: masonry  ,  constructionCode: 4
  construction Description: CMU/masonry  ,  constructionCode: 4
  construction Description: Masonry wall brick exterior  ,  constructionCode: 4
  construction Description: anodized steel dry wall  ,  constructionCode: 4
  construction Description: masonry block  ,  constructionCode: 4
  construction Description: Masonry Tilt Wall   ESFR  ,  constructionCode: 4
  construction Description: Masonry/Steel   ESFR  ,  constructionCode: 4
  construction Description: Metal / Masonry  ,  constructionCode: 4
  construction Description: Metal & Masonry  ,  constructionCode: 4
  construction Description: Masonry structure
FR  ,  constructionCode: 4
  construction Description: Joisted
Masonry  ,  constructionCode: 4
  construction Description: Concrete masonry wall  ,  constructionCode: 4
  construction Description: Steel/
Masonry  ,  constructionCode: 4
  construction Description: Concrete tilt wall  ,  constructionCode: 4
  construction Description: Masonry/Steel  ,  constructionCode: 4
  construction Description: Masonry / Brick  ,  constructionCode: 4
  construction Description: masonry brick  ,  constructionCode: 4
  construction Description: Masonry steel  ,  constructionCode: 4
  construction Description: Masonry Tilt Wall  ,  constructionCode: 4
  construction Description: Masonry Tilt Wall   ESFR  ,  constructionCode: 4
  construction Description: Masonry & Metal  ,  constructionCode: 4
  construction Description: structual steel  ,  constructionCode: 4
  construction Description: Concrete structure  ,  constructionCode: 4
  construction Description: Concrete frame structure  ,  constructionCode: 4
  construction Description: Concrete masonry wall  ,  constructionCode: 4
  construction Description: Concrete Block  ,  constructionCode: 1
  construction Description: Concrete tilt up & Steel  ,  constructionCode: 1
  construction Description: Concrete tilt wall / decorative iron inserts  ,  constructionCode: 1
  construction Description: Concrete Block / Wood Frame  |Insulated Pole Barn  ,  constructionCode: 1
  construction Description: Concrete & Frame  ,  constructionCode: 1
  construction Description: Steel / Concrete / Brick / Timber  ,  constructionCode: 1
  construction Description: Masonry / Brick  ,  constructionCode: 1
  construction Description: concrete block steel frame  ,  constructionCode: 1
  construction Description: concrete block  ,  constructionCode: 1
  construction Description: concrete brick  ,  constructionCode: 1
  construction Description: frame/brick veneer  ,  constructionCode: 1
  construction Description: Concrete block  ,  constructionCode: 1
  construction Description: concrete slab / steel frame  ,  constructionCode: 1
  construction Description: Wood Frame brick veneer  ,  constructionCode: 1
  construction Description: concrete/brick  ,  constructionCode: 1
  construction Description: wood concrete block  ,  constructionCode: 1
  construction Description: cinder block brick  ,  constructionCode: 1
  construction Description: concrete block wood frame  ,  constructionCode: 1
  construction Description: concrete block brick  ,  constructionCode: 1
  construction Description: Masonry wall brick exterior  ,  constructionCode: 1
  construction Description: concrete block / brick exterior flat roof  ,  constructionCode: 1
  construction Description: concrete block /stucco & vinyl ext.  ,  constructionCode: 1
  construction Description: concrete block / flat roof  ,  constructionCode: 1
  construction Description: flat roof concrete block exterior  ,  constructionCode: 1
  construction Description: concrete block exterior  ,  constructionCode: 1
  construction Description: concrete block extrior wood frame  ,  constructionCode: 1
  construction Description: concrete block   former auto care  ,  constructionCode: 1
  construction Description: concrete block  |online sq. ft. 2990  ,  constructionCode: 1
  construction Description: Concrete block wood frame  ,  constructionCode: 1
